# Tabulated results for all simulations run. Species designates either a combined harbour and grey seal bycatch estimator 
# or a harbour porpoise bycatch estimator. Stratification refers to one of the eight stratifications listed in Table 1
# of the original report. 

# Strategy refers to one of the strategies listed in Table 2. “k” is the percentage points increase in the sampling 
# fraction in the targeted strata, bycatch is the “real” bycatch, estimate is the estimated bycatch, error is the MRE, 
# and CV is the coefficient of variation.

Species;Stratification;Strategy;k;Bycatch;Estimate;Error;CV
1;seals;strat1;sim21;0;414;402;-0.0279;0.386
2;seals;strat1;sim21;0.05;412;418;0.0141;0.255
3;seals;strat1;sim21;0.1;414;410;-0.0085;0.232
4;seals;strat1;sim21;0.25;413;415;0.005;0.209
5;seals;strat1;sim22;0;415;398;-0.038;0.386
6;seals;strat1;sim22;0.05;413;420;0.0175;0.229
7;seals;strat1;sim22;0.1;413;411;-0.0057;0.191
8;seals;strat1;sim22;0.25;412;417;0.0121;0.18
9;seals;strat1;sim23;0;412;401;-0.0293;0.39
10;seals;strat1;sim23;0.05;412;391;-0.051;0.357
11;seals;strat1;sim23;0.1;412;397;-0.0381;0.353
12;seals;strat1;sim23;0.25;412;393;-0.0483;0.348
13;seals;strat1;sim24;0;412;402;-0.0241;0.389
14;seals;strat1;sim24;0.05;412;413;0.0046;0.277
15;seals;strat1;sim24;0.1;414;410;-0.008;0.255
16;seals;strat1;sim24;0.25;412;407;-0.0112;0.254
17;seals;strat1;sim25;0;412;392;-0.0478;0.377
18;seals;strat1;sim25;0.05;414;389;-0.0598;0.393
19;seals;strat1;sim25;0.1;412;396;-0.0389;0.394
20;seals;strat1;sim25;0.25;412;403;-0.0245;0.381
21;seals;strat1;sim26;0;413;399;-0.0354;0.383
22;seals;strat1;sim26;0.05;412;393;-0.0452;0.382
23;seals;strat1;sim26;0.1;413;390;-0.0557;0.374
24;seals;strat1;sim26;0.25;412;388;-0.0593;0.396
25;seals;strat1;sim27;0;414;391;-0.0547;0.385
26;seals;strat1;sim27;0.05;412;402;-0.0256;0.386
27;seals;strat1;sim27;0.1;412;398;-0.0339;0.386
28;seals;strat1;sim27;0.25;413;405;-0.0189;0.371
29;seals;strat1;sim28;0;413;392;-0.0512;0.393
30;seals;strat1;sim28;0.05;413;410;-0.0084;0.39
31;seals;strat1;sim28;0.1;413;403;-0.0227;0.379
32;seals;strat1;sim28;0.25;413;399;-0.0357;0.389
33;seals;strat1;sim29;0;412;388;-0.0585;0.388
34;seals;strat1;sim29;0.05;413;396;-0.042;0.393
35;seals;strat1;sim29;0.1;413;394;-0.0476;0.395
36;seals;strat1;sim29;0.25;413;399;-0.0353;0.394
37;seals;strat1;sim30;0;413;399;-0.0343;0.377
38;seals;strat1;sim30;0.05;413;401;-0.0276;0.405
39;seals;strat1;sim30;0.1;413;399;-0.0334;0.373
40;seals;strat1;sim30;0.25;413;411;-0.0049;0.384
41;seals;strat2;sim21;0;388;387;-0.0018;0.315
42;seals;strat2;sim21;0.05;388;388;-0.0024;0.3
43;seals;strat2;sim21;0.1;388;392;0.0095;0.299
44;seals;strat2;sim21;0.25;389;382;-0.0159;0.284
45;seals;strat2;sim22;0;389;385;-0.0099;0.325
46;seals;strat2;sim22;0.05;387;387;0.0017;0.271
47;seals;strat2;sim22;0.1;388;392;0.0095;0.255
48;seals;strat2;sim22;0.25;388;387;-0.0019;0.238
49;seals;strat2;sim23;0;389;380;-0.0238;0.323
50;seals;strat2;sim23;0.05;388;388;-0.0018;0.281
51;seals;strat2;sim23;0.1;388;389;0.0025;0.269
52;seals;strat2;sim23;0.25;387;386;-0.0027;0.266
53;seals;strat2;sim24;0;388;387;-0.0025;0.321
54;seals;strat2;sim24;0.05;388;388;-0.0014;0.282
55;seals;strat2;sim24;0.1;388;387;-0.0011;0.268
56;seals;strat2;sim24;0.25;388;390;0.0045;0.267
57;seals;strat2;sim25;0;388;385;-0.0089;0.315
58;seals;strat2;sim25;0.05;388;390;0.0032;0.324
59;seals;strat2;sim25;0.1;388;389;0.0015;0.336
60;seals;strat2;sim25;0.25;388;393;0.0099;0.335
61;seals;strat2;sim26;0;387;385;-0.0051;0.327
62;seals;strat2;sim26;0.05;389;389;-9e-04;0.325
63;seals;strat2;sim26;0.1;389;384;-0.0123;0.318
64;seals;strat2;sim26;0.25;388;390;0.0037;0.325
65;seals;strat2;sim27;0;388;393;0.0118;0.319
66;seals;strat2;sim27;0.05;388;386;-0.0065;0.324
67;seals;strat2;sim27;0.1;388;389;0.0026;0.327
68;seals;strat2;sim27;0.25;387;394;0.0181;0.326
69;seals;strat2;sim28;0;388;391;0.0066;0.309
70;seals;strat2;sim28;0.05;387;387;-2e-04;0.328
71;seals;strat2;sim28;0.1;388;383;-0.0123;0.315
72;seals;strat2;sim28;0.25;389;381;-0.0191;0.327
73;seals;strat2;sim29;0;389;384;-0.014;0.317
74;seals;strat2;sim29;0.05;387;386;-0.0025;0.322
75;seals;strat2;sim29;0.1;390;388;-0.0053;0.318
76;seals;strat2;sim29;0.25;388;380;-0.0192;0.321
77;seals;strat2;sim30;0;388;386;-0.0047;0.333
78;seals;strat2;sim30;0.05;389;391;0.0047;0.271
79;seals;strat2;sim30;0.1;388;393;0.0124;0.267
80;seals;strat2;sim30;0.25;388;387;-0.0032;0.248
81;seals;strat3;sim21;0;526;523;-0.0054;0.439
82;seals;strat3;sim21;0.05;527;522;-0.009;0.243
83;seals;strat3;sim21;0.1;526;522;-0.0083;0.224
84;seals;strat3;sim21;0.25;525;523;-0.0037;0.212
85;seals;strat3;sim22;0;527;532;0.0091;0.398
86;seals;strat3;sim22;0.05;528;522;-0.012;0.227
87;seals;strat3;sim22;0.1;526;513;-0.0239;0.209
88;seals;strat3;sim22;0.25;525;524;-0.0032;0.186
89;seals;strat3;sim23;0;526;521;-0.0114;0.421
90;seals;strat3;sim23;0.05;526;517;-0.0176;0.312
91;seals;strat3;sim23;0.1;527;521;-0.0117;0.33
92;seals;strat3;sim23;0.25;526;536;0.0198;0.32
93;seals;strat3;sim24;0;526;531;0.0086;0.428
94;seals;strat3;sim24;0.05;527;525;-0.0027;0.31
95;seals;strat3;sim24;0.1;527;527;5e-04;0.301
96;seals;strat3;sim24;0.25;527;521;-0.0118;0.287
97;seals;strat3;sim25;0;526;511;-0.0291;0.427
98;seals;strat3;sim25;0.05;523;532;0.0168;0.412
99;seals;strat3;sim25;0.1;526;524;-0.003;0.414
100;seals;strat3;sim25;0.25;526;543;0.0328;0.412
101;seals;strat3;sim26;0;527;529;0.004;0.412
102;seals;strat3;sim26;0.05;527;526;-0.0015;0.41
103;seals;strat3;sim26;0.1;525;523;-0.0041;0.417
104;seals;strat3;sim26;0.25;527;535;0.0158;0.408
105;seals;strat3;sim27;0;526;525;-0.0014;0.406
106;seals;strat3;sim27;0.05;526;537;0.0201;0.407
107;seals;strat3;sim27;0.1;525;523;-0.0041;0.434
108;seals;strat3;sim27;0.25;527;519;-0.0143;0.422
109;seals;strat3;sim28;0;527;522;-0.009;0.417
110;seals;strat3;sim28;0.05;526;517;-0.0166;0.404
111;seals;strat3;sim28;0.1;526;535;0.0158;0.408
112;seals;strat3;sim28;0.25;525;518;-0.0138;0.42
113;seals;strat3;sim29;0;526;529;0.0078;0.408
114;seals;strat3;sim29;0.05;527;525;-0.0037;0.27
115;seals;strat3;sim29;0.1;526;529;0.0068;0.254
116;seals;strat3;sim29;0.25;526;537;0.0194;0.255
117;seals;strat3;sim30;0;526;525;-0.001;0.423
118;seals;strat3;sim30;0.05;526;530;0.0066;0.233
119;seals;strat3;sim30;0.1;526;530;0.007;0.223
120;seals;strat3;sim30;0.25;526;534;0.0154;0.211
121;seals;strat4;sim21;0;423;410;-0.0288;0.401
122;seals;strat4;sim21;0.05;422;425;0.0056;0.316
123;seals;strat4;sim21;0.1;421;415;-0.0152;0.303
